ad_duration,cost,impressions,budget,publisher,country,market,creative_type
31,168.16,30063,108.695652173913,Facebook / Instagram,CA,BC,Video
31,249.51,58578,108.695652173913,Facebook / Instagram,CA,BC,Video
31,197.45,48972,108.695652173913,Facebook / Instagram,CA,BC,Video
31,206.97,50154,108.695652173913,Facebook / Instagram,CA,BC,Video
55,11.75,3239,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,11.2,2370,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,9.98,2676,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,10.01,1498,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,9.18,2572,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,1.4,223,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,8.06,1590,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,7.64,2268,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,9.31,1868,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,4.28,718,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,6.53,1143,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,14.4,2687,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,11.99,2305,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,8.14,1302,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,2.25,574,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,9.74,1397,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,2.13,622,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,2.6,574,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,3.38,631,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,3.92,929,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,2.13,378,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,15.53,2572,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,8.97,1486,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,3.54,585,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,16.92,3633,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,17.59,3449,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,22.17,4786,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,17.43,3590,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,20.29,3488,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,17.51,3676,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,16.36,3699,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,7.48,1637,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,17.41,4462,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,19.35,4057,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,16.54,3182,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,19.02,4146,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,20.9,4541,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,26.09,5412,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,16.53,3272,34.9985882352941,Facebook / Instagram,CA,BC,Video
55,109.61,31106,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,94.12,31922,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,86.39,19431,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,13.13,2515,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,27.62,6120,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,100.98,18893,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,125.11,43253,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,101.01,28729,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,37.75,7282,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,171.61,48541,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,70.77,25498,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,62.48,13409,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,99.78,25205,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,193.85,43645,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,46.59,9297,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,43.0,9011,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,44.56,8584,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,97.08,23431,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,18.05,3261,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,62.25,10493,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,37.68,7939,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,22.04,4704,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,63.25,15412,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,43.49,12626,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,39.33,7057,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,26.27,7529,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,17.06,4352,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,57.29,11421,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,35.3,7798,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,151.12,35081,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,51.53,13267,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,141.67,36155,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,162.76,39358,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,165.9,50664,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,163.04,34313,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,85.29,20492,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,181.52,43073,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,115.55,28801,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,156.35,37445,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,157.64,36497,35.4152976190476,Facebook / Instagram,CA,BC,Video
55,37.74,9543,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,58.89,13491,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,33.24,9722,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,47.6,11459,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,36.85,13920,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,11.8,3144,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,2.93,768,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,32.64,6950,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,33.02,8681,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,31.01,7968,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,24.4,6171,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,9.55,2758,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,14.76,3002,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,23.51,5169,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,6.86,1902,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,14.21,2891,33.6145197740113,Facebook / Instagram,CA,BC,Video
